x,y
-45.55356052,-2.853481
-45.54689382,2.334666
-45.54022712,-7.76696
-45.53356042,-4.989776
-45.52689372,-6.729331
-45.52022702,0.4119999
-45.51356032,-2.731406
-45.50689362,-2.777184
-45.50022692,-3.189184
-45.49356022,5.096591
-45.48689352,3.738517
-45.48022682,-3.524888
-45.47356012,0.6408886
-45.46689342,2.349925
-45.46022672,3.311258
-45.45356002,1.43437
-45.44689332,-2.304147
-45.44022662,8.590961
-45.43355992,-3.952147
-45.42689322,-1.342814
-45.42022652,-1.098666
-45.41355982,0.5645924
-45.40689312,-1.998962
-45.40022642,-4.852443
-45.39355972,2.273629
-45.38689302,0.4882961
-45.38022632,-2.166814
-45.37355962,0.5645924
-45.36689292,-3.311258
-45.36022622,-1.266518
-45.35355952,0.183111
-45.34689282,-1.647999
-45.34022612,-1.495407
-45.33355942,-1.297037
-45.32689272,-2.945036
-45.32022602,2.288888
-45.31355932,-2.288888
-45.30689262,-3.89111
-45.30022592,-2.273629
-45.29355922,-2.24311
-45.28689252,-0.8697774
-45.28022582,-1.43437
-45.27355912,0.1525925
-45.26689242,-4.730369
-45.26022572,-3.326517
-45.25355902,-0.06103702
-45.24689232,-2.548295
-45.24022562,-5.691702
-45.23355892,-2.029481
-45.22689222,-3.631702
-45.22022553,0.1983703
-45.21355883,-1.449629
-45.20689213,-2.121036
-45.20022543,-4.028443
-45.19355873,-1.388592
-45.18689203,1.709036
-45.18022533,-6.424146
-45.17355863,-1.144444
-45.16689193,0.5645924
-45.16022523,-1.190222
-45.15355853,-0.7324442
-45.14689183,-1.83111
-45.14022513,-7.705923
-45.13355843,-2.960295
-45.12689173,-1.159703
-45.12022503,-2.258369
-45.11355833,-3.524888
-45.10689163,-4.30311
-45.10022493,-1.785333
-45.09355823,-0.9308145
-45.08689153,-0.9155552
-45.08022483,-0.1525925
-45.07355813,-2.700888
-45.06689143,-3.341777
-45.06022473,-1.998962
-45.05355803,0.3509628
-45.04689133,-2.471999
-45.04022463,-3.707999
-45.03355793,-2.319407
-45.02689123,1.02237
-45.02022453,-2.151555
-45.01355783,-1.770073
-45.00689113,0.5340739
-45.00022443,1.403851
-44.99355773,-2.746666
-44.98689103,0.9460737
-44.98022433,-4.593035
-44.97355763,-1.037629
-44.96689093,0.183111
-44.96022423,2.563555
-44.95355753,2.838221
-44.94689083,1.358074
-44.94022413,2.502518
-44.93355743,0.1983703
-44.92689073,2.609332
-44.92022403,2.288888
-44.91355733,-0.7934812
-44.90689063,-0.06103702
-44.90022393,-1.373333
-44.89355723,-2.533036
-44.88689053,0.8545182
-44.88022383,-1.602222
-44.87355713,-1.617481
-44.86689043,-1.098666
-44.86022373,0.09155552
-44.85355703,1.251259
-44.84689033,-3.67748
-44.84022363,-2.822962
-44.83355693,-2.517777
-44.82689023,-2.761925
-44.82022353,0.1983703
-44.81355683,-2.121036
-44.80689013,3.646962
-44.80022343,-0.7324442
-44.79355673,-0.1678518
-44.78689003,2.136296
-44.78022333,-2.365184
-44.77355663,-0.2288888
-44.76688993,-4.257332
-44.76022323,-0.9308145
-44.75355653,-2.945036
-44.74688983,0.03051851
-44.74022313,-2.639851
-44.73355643,-4.91348
-44.72688973,3.906369
-44.72022303,-1.602222
-44.71355633,-0.07629627
-44.70688963,-6.042665
-44.70022293,-1.144444
-44.69355623,1.098666
-44.68688953,-1.785333
-44.68022283,-3.601184
-44.67355613,-2.945036
-44.66688943,-5.386517
-44.66022273,0.2594073
-44.65355603,-0.4425184
-44.64688933,-3.814813
-44.64022263,0.3814813
-44.63355593,-2.716147
-44.62688923,1.205481
-44.62022253,1.678518
-44.61355584,-4.409925
-44.60688914,-0.5645924
-44.60022244,-1.922666
-44.59355574,-0.09155552
-44.58688904,-0.1678518
-44.58022234,-1.098666
-44.57355564,-1.068148
-44.56688894,-0.5035554
-44.56022224,-0.5798516
-44.55355554,0.3967406
